Kannada,English
ಹೇಳಲು,tell
ಮಾಡುತ್ತದೆ,does
ಸೆಟ್,set
ಮೂರು,three
ಬಯಸುವ,want
ಗಾಳಿ,air
ಹಾಗೂ,well
ಸಹ,also
ಆಡಲು,play
ಸಣ್ಣ,small
ಕೊನೆಯಲ್ಲಿ,end
ಪುಟ್,put
ಮನೆ,home
ಓದಲು,read
ಕೈ,hand
ಬಂದರು,port
ದೊಡ್ಡ,large
ಕಾಗುಣಿತ,spell
ಸೇರಿಸಬಹುದು,add
ಸಹ,even
ಭೂಮಿ,land
ಇಲ್ಲಿ,here
ಮಾಡಬೇಕಾಗುತ್ತದೆ,must
ದೊಡ್ಡ,big
ಹೆಚ್ಚಿನ,high
ಇಂತಹ,such
ಅನುಸರಿಸಿ,follow
ಆಕ್ಟ್,act
ಏಕೆ,why
ಕೇಳಿ,ask
ಪುರುಷರು,men
ಬದಲಾವಣೆ,change
ಹೋದರು,went
ಬೆಳಕಿನ,light
ರೀತಿಯ,kind
ಆಫ್,off
ಅಗತ್ಯವಿದೆ,need
ಮನೆ,house
ಚಿತ್ರ,picture
ಪ್ರಯತ್ನಿಸಿ,try
ನಮಗೆ,us
ಮತ್ತೆ	again
ಪ್ರಾಣಿ,animal
ಪಾಯಿಂಟ್,point
ತಾಯಿ,mother
ವಿಶ್ವದ,world
ಬಳಿ,near
ನಿರ್ಮಿಸಲು,build
ಸ್ವಯಂ,self
ಭೂಮಿಯ,earth
ತಂದೆ,father
ಯಾವುದೇ,any
ಹೊಸ,new
ಕೆಲಸ,work
ಭಾಗ	,part
ತೆಗೆದುಕೊಳ್ಳಲು,take
ಪಡೆಯಲು,get
ಸ್ಥಾನ,place
ಮಾಡಿದ,made
ಲೈವ್,live
ಎಲ್ಲಿ,where
ನಂತರ,after
ಮತ್ತೆ,back
ಕಡಿಮೆ,little
ಮಾತ್ರ,only
ಸುತ್ತಿನಲ್ಲಿ,round
ವ್ಯಕ್ತಿ,man
ವರ್ಷ,year
ಬಂದರು,came
ಪ್ರದರ್ಶನ,show
ಪ್ರತಿ,every
ಉತ್ತಮ,good
ನನಗೆ,me
ನೀಡಿ,give
ನಮ್ಮ,our
ಅಡಿಯಲ್ಲಿ,under
ಹೆಸರು,name
ಅತ್ಯಂತ,very
ಮೂಲಕ,through
ಕೇವಲ,just
ರೂಪ,form
ವಾಕ್ಯ,sentence
ಮಹಾನ್,great
ನಗರದ,think
ಹೇಳಲು,say
ಸಹಾಯ,help
ಕಡಿಮೆ,low
ಸಾಲು,line
ಭಿನ್ನವಾಗಿರುತ್ತವೆ,differ
ತಿರುವು,turn
ಕಾರಣ,cause
ಹೆಚ್ಚು,much
ಅರ್ಥ,mean
ಮೊದಲು,before
ಬಲ,right
ಹುಡುಗ,boy
ಹಳೆಯ,old
ತುಂಬಾ,many

